R,G,B,DMC,Floss
255,226,226,Salmon Very Light,3713
255,201,201,Salmon Light,761
245,173,173,Salmon,760
241,135,135,Salmon Medium,3712
227,109,109,Salmon Dark,3328
191,45,45,Salmon Very Dark,347
254,215,204,Peach,353
253,156,151,Coral Light,352
233,106,103,Coral,351
224,72,72,Coral Medium,350
210,16,53,Coral Dark,349
187,5,31,Coral Red Very Dark,817
255,203,213,Melon Light,3708
255,173,188,Melon Medium,3706
255,121,146,Melon Dark,3705
231,73,103,Melon Very Dark,3801
227,29,66,Bright Red,666
199,43,59,Red,321
183,31,51,Red Medium,304
167,19,43,Red Dark,498
151,11,35,Garnet,816
135,7,31,Garnet Medium,815
123,0,27,Garnet Dark,814
255,178,187,Carnation Very Light,894
252,144,162,Carnation Light,893
255,121,140,Carnation Medium,892
255,87,115,Carnation Dark,891
255,223,217,Baby Pink,818
253,181,181,Geranium Pale,957
255,145,145,Geranium,956
214,43,91,Rose Dark,309
255,215,215,Dusty Rose Ult Vy Lt,963
255,189,189,Dusty Rose Med Vy Lt,3716
230,138,138,Dusty Rose Medium,962
207,115,115,Dusty Rose Dark,961
234,134,153,Raspberry Light,3833
219,85,110,Raspberry Medium,3832
179,47,72,Raspberry Dark,3831
145,53,70,Raspberry Very Dark,777
255,238,235,Baby Pink Light,819
251,173,180,Rose Light,3326
252,176,185,Pink Medium,776
242,118,136,Rose Medium,899
238,84,110,Rose,335
179,59,75,Rose Very Dark,326
240,206,212,Dusty Rose Vry Lt,151
228,166,172,Dusty Rose Light,3354
232,135,155,Dusty Rose,3733
218,103,131,Dusty Rose Very Dark,3731
188,67,101,Dusty Rose Ultra Dark,3350
171,2,73,Dusty Rose Ult Vy Dk,150
251,191,194,Mauve Light,3689
231,169,172,Mauve Medium,3688
201,107,112,Mauve,3687
171,51,87,Mauve Dark,3803
136,21,49,Mauve Very Dark,3685
255,192,205,Cranberry Very Light,605
255,176,190,Cranberry Light,604
255,164,190,Cranberry,603
226,72,116,Cranberry Medium,602
209,40,106,Cranberry Dark,601
205,47,99,Cranberry Very Dark,600
255,140,174,Cyclamen Pink Light,3806
243,71,139,Cyclamen Pink,3805
224,40,118,Cyclamen Pink Dark,3804
244,174,213,Plum Ultra Light,3609
234,156,196,Plum Very Light,3608
197,73,137,Plum Light,3607
156,36,98,Plum,718
155,19,89,Plum Medium,917
130,0,67,Plum Dark,915
255,223,213,Shell Pink Ult Vy Lt,225
235,183,175,Shell Pink Very Light,224
226,160,153,Shell Pink Med Light,152
204,132,124,Shell Pink Light,223
188,108,100,Shell Pink Med,3722
161,75,81,Shell Pink Dark,3721
136,62,67,Shell Pink Vy Dk,221
223,179,187,Antique Mauve Vy Lt,778
219,169,178,Antique Mauve Light,3727
183,115,127,Antique Mauve Med,316
155,91,102,Antique Mauve Dark,3726
129,73,82,Antique Mauve Md Dk,315
113,65,73,Antique Mauve Vy Dk,3802
130,38,55,Garnet Very Dark,902
215,203,211,Antique Violet Vy Lt,3743
183,157,167,Antique Violet Light,3042
149,111,124,Antique Violet Medium,3041
120,87,98,Antique Violet Dark,3740
186,145,170,Grape Light,3836
148,96,131,Grape Medium,3835
114,55,93,Grape Dark,3834
87,36,51,Grape Very Dark,154
227,203,227,Lavender Light,211
195,159,195,Lavender Medium,210
163,123,167,Lavender Dark,209
131,91,139,Lavender Very Dark,208
108,58,110,Lavender Ultra Dark,3837
99,54,102,Violet Dark,327
230,204,217,Violet Very Light,153
219,179,203,Violet Light,554
163,99,139,Violet,553
128,58,107,Violet  Medium,552
92,24,78,Violet Very Dark,550
211,215,237,Blue Violet Vy Lt,3747
183,191,221,Blue Violet Light,341
163,174,209,Blue Violet Med Lt,156
173,167,199,Blue Violet Medium,340
152,145,182,Blue Violet Med Dark,155
119,107,152,Blue Violet Dark,3746
92,84,120,Blue Violet Very Dark,333
187,195,217,Cornflower Blue Vy Lt,157
143,156,193,Cornflower Blue Light,794
112,125,162,Cornflower Blue Med,793
96,103,140,Cornflower Blue,3807
85,91,123,Cornflower Blue Dark,792
76,82,110,Cornflower Blu M V D,158
70,69,99,Cornflower Blue V D,791
176,192,218,Lavender Blue Light,3840
123,142,171,Lavender Blue Med,3839
92,114,148,Lavender Blue Dark,3838
192,204,222,Delft Blue Pale,800
148,168,198,Delft Blue,809
116,142,182,Delft Blue Medium,799
70,106,142,Delft Blue Dark,798
19,71,125,Royal Blue,797
17,65,109,Royal Blue Dark,796
14,54,92,Royal Blue Very Dark,820
219,236,245,Blue Ultra Very Light,162
189,221,237,Blue Very Light,827
161,194,215,Blue Light,813
107,158,191,Blue Medium,826
71,129,165,Blue Dark,825
57,105,135,Blue Very Dark,824
48,194,236,Electric Blue Medium,996
20,170,208,Electric Blue,3843
38,150,182,Electric Blue Dark,995
6,227,230,Turquoise Bright Light,3846
4,196,202,Turquoise Bright Med,3845
18,174,186,Turquoise Bright Dark,3844
199,202,215,Blue Gray Light,159
153,159,183,Blue Gray Medium,160
120,128,164,Blue Gray,161
238,252,252,Baby Blue Ult Vy Lt,3756
217,235,241,Baby Blue Very Light,775
205,223,237,Baby Blue Pale,3841
184,210,230,Baby Blue Light,3325
147,180,206,Baby Blue,3755
115,159,193,Baby Blue Medium,334
90,143,184,Baby Blue Dark,322
53,102,139,Baby Blue Very Dark,312
44,89,124,Baby Blue Ult Vy Dk,803
37,59,115,Navy Blue,336
33,48,99,Navy Blue Dark,823
27,40,83,Navy Blue Very Dark,939
219,226,233,Antique Blue Ult Vy Lt,3753
199,209,219,Antique Blue Very Lt,3752
162,181,198,Antique Blue Light,932
106,133,158,Antique Blue Medium,931
69,92,113,Antique Blue Dark,930
56,76,94,Antique Blue Very Dk,3750
197,232,237,Sky Blue Vy Lt,828
172,216,226,Sky Blue Light,3761
126,177,200,Sky Blue,519
79,147,167,Wedgewood Light,518
62,133,162,Wedgewood Med,3760
59,118,143,Wedgewood Dark,517
50,102,124,Wedgewood Vry Dk,3842
28,80,102,Wedgewood Ult VyDk,311
229,252,253,Peacock Blue Vy Lt,747
153,207,217,Peacock Blue Light,3766
100,171,186,Peacock Blue,807
61,149,165,Peacock Blue Dark,806
52,127,140,Peacock Blue Vy Dk,3765
188,227,230,Turquoise Very Light,3811
144,195,204,Turquoise Light,598
91,163,179,Turquoise,597
72,142,154,Turquoise Dark,3810
63,124,133,Turquoise Vy Dark,3809
54,105,112,Turquoise Ult Vy Dk,3808
221,227,227,Gray Green Vy Lt,928
189,203,203,Gray Green Light,927
152,174,174,Gray Green Med,926
101,127,127,Gray Green Dark,3768
86,106,106,Gray Green Vy Dark,924
82,179,164,Teal Green Light,3849
85,147,146,Teal Green Med,3848
52,125,117,Teal Green Dark,3847
169,226,216,Sea Green Light,964
89,199,180,Sea Green Med,959
62,182,161,Sea Green Dark,958
47,140,132,Sea Green Vy Dk,3812
73,179,161,Green Bright Lt,3851
61,147,132,Green Bright Md,943
55,132,119,Green Bright Dk,3850
144,192,180,Aquamarine Vy Lt,993
111,174,159,Aquamarine Lt,992
80,139,125,Aquamarine,3814
71,123,110,Aquamarine Dk,991
185,215,192,Jade Ultra Vy Lt,966
167,205,175,Jade Very Light,564
143,192,152,Jade Light,563
83,151,106,Jade Medium,562
51,131,98,Jade Green,505
153,195,170,Celadon Green Lt,3817
101,165,125,Celadon Green,3816
77,131,97,Celadon Green Md,163
71,119,89,Celadon Green Dk,3815
44,106,69,Celadon Green VD,561
196,222,204,Blue Green Vy Lt,504
178,212,189,Blue Green Lt,3813
123,172,148,Blue Green Med,503
91,144,113,Blue Green,502
57,111,82,Blue Green Dark,501
4,77,51,Blue Green Vy Dk,500
162,214,173,Nile Green Light,955
136,186,145,Nile Green,954
109,171,119,Nile Green Med,913
27,157,107,Emerald Green Lt,912
24,144,101,Emerald Green Med,911
24,126,86,Emerald Green Dark,910
21,111,73,Emerald Green Vy Dk,909
17,90,59,Emerald Grn Ult V Dk,3818
215,237,204,Pistachio Green Vy Lt,369
166,194,152,Pistachio Green Lt,368
105,136,90,Pistachio Green Med,320
97,122,82,Pistachio Green Dk,367
32,95,46,Pistachio Grn Vy Dk,319
23,73,35,Pistachio Grn Ult V D,890
200,216,184,Forest Green Lt,164
141,166,117,Forest Green ,989
115,139,91,Forest Green Med,988
88,113,65,Forest Green Dk,987
64,82,48,Forest Green Vy Dk,986
228,236,212,Yellow Green Vy Lt,772
204,217,177,Yellow Green Lt,3348
113,147,92,Yellow Green Med,3347
64,106,58,Hunter Green,3346
27,89,21,Hunter Green Dk,3345
27,83,0,Hunter Green Vy Dk,895
158,207,52,Chartreuse Bright,704
123,181,71,Chartreuse,703
71,167,47,Kelly Green,702
63,143,41,Green Light,701
7,115,27,Green Bright,700
5,101,23,Green,699
199,230,102,Parrot Green Lt,907
127,179,53,Parrot Green Md,906
98,138,40,Parrot Green Dk,905
85,120,34,Parrot Green V Dk,904
216,228,152,Avocado Grn U Lt,472
174,191,121,Avocado Grn V Lt,471
148,171,79,Avocado Grn Lt,470
114,132,60,Avocado Green,469
98,113,51,Avocado Green Md,937
76,88,38,Avocado Grn V Dk,936
66,77,33,Avocado Green Dk,935
49,57,25,Avocado Grn Black,934
171,177,151,Fern Green Lt,523
156,164,130,Green Gray,3053
136,146,104,Green Gray Md,3052
95,102,72,Green Gray Dk,3051
196,205,172,Fern Green Vy Lt,524
150,158,126,Fern Green,522
102,109,79,Fern Green Dark,520
131,151,95,Pine Green,3364
114,130,86,Pine Green Md,3363
94,107,71,Pine Green Dk,3362
239,244,164,Moss Green Vy Lt,165
